Key,Parameter,ja-jp,en-us,zh-cn,zh-tw,ko-kr,es-es,ar-sa,id-id
EffectName,,ホログラム箔,Holographic Foil,全息箔,全像箔,홀로그램 포일,Lámina holográfica,رقاقة هولوجرام,Foil Holografik
BasicGroup,,基本,Basic,基本,基本,기본,Básico,أساسي,Dasar
ViewGroup,,角度,Angle,角度,角度,각도,Ángulo,الزاوية,Sudut
FoilGroup,,箔,Foil,箔,箔,포일,Lámina,الرقاقة,Foil
RevealGroup,,潜像,Angle Reveal,角度显现,角度顯現,각도 표시,Revelado por ángulo,إظهار بالزاوية,Tampil Sudut
AtlasGroup,,画像アトラス,Image Atlas,图像图集,影像圖集,이미지 아틀라스,Atlas de imagen,أطلس الصور,Atlas Gambar
AmountName,,強さ,Amount,强度,強度,강도,Intensidad,القوة,Kekuatan
AmountDesc,,箔合成の強さです。,Controls the foil composite strength.,控制箔合成强度。,控制箔合成強度。,포일 합성 강도입니다.,Controla la intensidad de la lámina.,يتحكم في قوة تركيب الرقاقة.,Mengatur kekuatan komposit foil.
AlphaSourceName,,対象,Source Mask,源遮罩,來源遮罩,소스 마스크,Máscara de origen,قناع المصدر,Masker Sumber
AlphaSourceDesc,,箔を乗せる範囲の基準です。,Selects the mask used by the foil.,选择箔使用的遮罩。,選擇箔使用的遮罩。,포일에 사용할 마스크입니다.,Selecciona la máscara de la lámina.,يحدد القناع المستخدم للرقاقة.,Memilih masker yang dipakai foil.
AlphaSourceAlpha,,アルファ,Alpha,Alpha,Alpha,알파,Alfa,ألفا,Alpha
AlphaSourceLuminance,,輝度,Luminance,亮度,亮度,휘도,Luminancia,الإضاءة,Luminans
AlphaSourceAlphaLuminance,,アルファ×輝度,Alpha x Luminance,Alpha x 亮度,Alpha x 亮度,알파 x 휘도,Alfa x luminancia,ألفا x الإضاءة,Alpha x Luminans
ViewSourceName,,角度の取得元,Angle Source,角度来源,角度來源,각도 소스,Origen del ángulo,مصدر الزاوية,Sumber Sudut
ViewSourceDesc,,箔の見え方を変える角度の取得元です。,Selects the source angle for the foil response.,选择箔响应使用的角度来源。,選擇箔反應使用的角度來源。,포일 반응에 사용할 각도 소스입니다.,Selecciona el origen del ángulo de la lámina.,يحدد مصدر زاوية استجابة الرقاقة.,Memilih sumber sudut respons foil.
ViewSourceCamera,,カメラ,Camera,相机,相機,카메라,Cámara,الكاميرا,Kamera
ViewSourceItemRotation,,アイテム回転,Item Rotation,项目旋转,項目旋轉,아이템 회전,Rotación del elemento,دوران العنصر,Rotasi Item
ViewSourceManual,,手動,Manual,手动,手動,수동,Manual,يدوي,Manual
ViewSensitivityName,,角度感度,Angle Sensitivity,角度灵敏度,角度靈敏度,각도 감도,Sensibilidad de ángulo,حساسية الزاوية,Sensitivitas Sudut
ViewSensitivityDesc,,カメラまたはアイテム角度への反応量です。,Scales the camera or item angle response.,缩放相机或项目角度响应。,縮放相機或項目角度反應。,카메라 또는 아이템 각도 반응량입니다.,Escala la respuesta del ángulo.,يضبط استجابة زاوية الكاميرا أو العنصر.,Mengatur respons sudut kamera atau item.
ManualAngleName,,手動角度,Manual Angle,手动角度,手動角度,수동 각도,Ángulo manual,زاوية يدوية,Sudut Manual
ManualAngleDesc,,手動で指定する視線角度です。,Sets the view angle manually.,手动设置视线角度。,手動設定視線角度。,시선 각도를 직접 지정합니다.,Define el ángulo de vista manualmente.,يضبط زاوية الرؤية يدويا.,Mengatur sudut pandang manual.
FoilColorName,,箔色,Foil Color,箔色,箔色,포일 색,Color de lámina,لون الرقاقة,Warna Foil
FoilColorDesc,,白色反射の基準色です。,Base color for white reflections.,白色反射的基准色。,白色反射的基準色。,흰 반사의 기준색입니다.,Color base de los reflejos blancos.,لون أساس الانعكاسات البيضاء.,Warna dasar pantulan putih.
RainbowName,,虹色,Rainbow,虹彩,虹彩,무지개,Arcoíris,قوس قزح,Pelangi
RainbowDesc,,回折による虹色の強さです。,Controls diffractive rainbow strength.,控制衍射虹彩强度。,控制繞射虹彩強度。,회절 무지개 강도입니다.,Controla la fuerza del arcoíris difractivo.,يتحكم في قوة ألوان الحيود.,Mengatur kekuatan pelangi difraksi.
ReliefName,,凹凸,Relief,浮雕,浮雕,양각,Relieve,بروز,Relief
ReliefDesc,,アルファや輝度から作る疑似凹凸の強さです。,Controls the pseudo relief from alpha or luminance.,控制由Alpha或亮度生成的伪浮雕。,控制由Alpha或亮度產生的擬似浮雕。,알파나 휘도에서 만든 의사 양각 강도입니다.,Controla el relieve simulado.,يتحكم في البروز الزائف من ألفا أو الإضاءة.,Mengatur relief semu dari alpha atau luminans.
PatternScaleName,,細線密度,Microline Density,细线密度,細線密度,세선 밀도,Densidad de micro líneas,كثافة الخطوط الدقيقة,Kepadatan Garis Mikro
PatternScaleDesc,,回折細線と潜像模様の密度です。,Controls diffraction microline density.,控制衍射细线密度。,控制繞射細線密度。,회절 세선 밀도입니다.,Controla la densidad de micro líneas.,يتحكم في كثافة الخطوط الدقيقة.,Mengatur kepadatan garis mikro.
PatternAngleName,,細線角度,Microline Angle,细线角度,細線角度,세선 각도,Ángulo de micro líneas,زاوية الخطوط الدقيقة,Sudut Garis Mikro
PatternAngleDesc,,回折細線の向きです。,Sets the diffraction microline direction.,设置衍射细线方向。,設定繞射細線方向。,회절 세선 방향입니다.,Define la dirección de las micro líneas.,يضبط اتجاه الخطوط الدقيقة.,Mengatur arah garis mikro.
SparkleName,,きらめき,Sparkle,闪烁,閃爍,반짝임,Destellos,وميض,Kilau
SparkleDesc,,微小な反射点の強さです。,Controls small reflective sparkles.,控制微小反射点强度。,控制微小反射點強度。,작은 반사점 강도입니다.,Controla pequeños destellos reflectantes.,يتحكم في نقاط اللمعان الصغيرة.,Mengatur titik kilau kecil.
MotionName,,動き,Motion,运动,動作,움직임,Movimiento,الحركة,Gerak
MotionDesc,,反射ときらめきの時間変化です。,Controls time variation of reflections and sparkles.,控制反射和闪烁的时间变化。,控制反射和閃爍的時間變化。,반사와 반짝임의 시간 변화입니다.,Controla la variación temporal.,يتحكم في تغير الانعكاس والوميض بمرور الوقت.,Mengatur perubahan pantulan dan kilau.
RevealModeName,,潜像モード,Reveal Mode,显现模式,顯現模式,표시 모드,Modo de revelado,وضع الإظهار,Mode Tampil
RevealModeDesc,,角度で現れる模様の種類です。,Selects the angle dependent hidden pattern.,选择随角度显现的隐藏图案。,選擇隨角度顯現的隱藏圖案。,각도에 따라 나타나는 숨은 패턴입니다.,Selecciona el patrón oculto dependiente del ángulo.,يحدد النمط المخفي المعتمد على الزاوية.,Memilih pola tersembunyi berbasis sudut.
RevealModeNone,,なし,None,无,無,없음,Ninguno,بدون,Tidak Ada
RevealModeGuilloche,,ギロシェ,Guilloche,彩纹,彩紋,기요셰,Guilloché,غيوشيه,Guilloche
RevealModeImageAtlas,,画像アトラス,Image Atlas,图像图集,影像圖集,이미지 아틀라스,Atlas de imagen,أطلس الصور,Atlas Gambar
RevealStrengthName,,潜像強度,Reveal Strength,显现强度,顯現強度,표시 강도,Intensidad de revelado,قوة الإظهار,Kekuatan Tampil
RevealStrengthDesc,,角度で現れる模様や画像の強さです。,Controls hidden pattern or atlas strength.,控制隐藏图案或图集强度。,控制隱藏圖案或圖集強度。,숨은 패턴이나 아틀라스 강도입니다.,Controla la fuerza del patrón oculto.,يتحكم في قوة النمط أو الأطلس.,Mengatur kekuatan pola atau atlas.
RevealRangeName,,角度範囲,Angle Range,角度范围,角度範圍,각도 범위,Rango de ángulo,نطاق الزاوية,Rentang Sudut
RevealRangeDesc,,角度別画像のフレームが切り替わる角度範囲です。,Controls the angle range over which the atlas frames switch.,控制图集角度帧切换的角度范围。,控制圖集角度影格切換的角度範圍。,아틀라스 각도 프레임이 전환되는 각도 범위입니다.,Controla el rango de ángulo en que cambian los fotogramas del atlas.,يتحكم في نطاق الزاوية الذي تتبدل فيه إطارات الأطلس.,Mengatur rentang sudut pergantian frame atlas.
RevealBlendName,,切替補間,Reveal Blend,切换混合,切換混合,전환 보간,Mezcla de revelado,مزج الإظهار,Campuran Tampil
RevealBlendDesc,,角度別画像の隣接フレームを混ぜる幅です。,Controls blending between neighboring angle frames.,控制相邻角度帧的混合宽度。,控制相鄰角度影格的混合寬度。,인접 각도 프레임의 혼합 폭입니다.,Controla la mezcla entre fotogramas vecinos.,يتحكم في مزج إطارات الزاوية المتجاورة.,Mengatur campuran antar frame sudut.
RevealImageName,,アトラス画像,Atlas Image,图集图像,圖集影像,아틀라스 이미지,Imagen de atlas,صورة الأطلس,Gambar Atlas
RevealImageDesc,,左向きから右向きまでを横に並べた画像です。,Image containing angle frames from left to right.,从左向右横向排列角度帧的图像。,從左向右橫向排列角度影格的影像。,왼쪽에서 오른쪽까지 각도 프레임을 가로로 배치한 이미지입니다.,Imagen con fotogramas de izquierda a derecha.,صورة تحتوي إطارات الزاوية من اليسار إلى اليمين.,Gambar berisi frame sudut dari kiri ke kanan.
RevealFramesName,,フレーム数,Frame Count,帧数,影格數,프레임 수,Número de fotogramas,عدد الإطارات,Jumlah Frame
RevealFramesDesc,,アトラス画像に横並びで含まれる角度フレーム数です。,Number of horizontal angle frames in the atlas image.,图集图像中横向角度帧的数量。,圖集影像中橫向角度影格的數量。,아틀라스 이미지의 가로 각도 프레임 수입니다.,Número de fotogramas horizontales del atlas.,عدد إطارات الزاوية الأفقية في الأطلس.,Jumlah frame sudut horizontal pada atlas.
ImageFileFilter,,画像ファイル,Image Files,图像文件,影像檔案,이미지 파일,Archivos de imagen,ملفات الصور,File Gambar
